event_name,event_time,id,user_id
required_event_A,2018-01-01 14:07:26,3c45d906a1bd44fcabfd1908a7d645e9,d49cc9fd55b94151972e70566fdb7a1a
required_event_B,2018-01-02 03:44:18,3858adc2fc3449f9b6509c781b131c82,d49cc9fd55b94151972e70566fdb7a1a
required_event_C,2018-01-02 04:34:58,912498bfa2024687abccc2f566535a98,d49cc9fd55b94151972e70566fdb7a1a
event_3,2018-01-02 08:03:25,889f1143c5004b90b27bae5ab2f949f1,d49cc9fd55b94151972e70566fdb7a1a
required_event_A,2018-01-02 08:28:04,c2223f004840454ea11d3cec0514887c,d3723f9d3d39460f8e89ddc9752fdce5
event_2,2018-01-02 10:27:24,c43131b5571b4693ae59c285ee091d42,d49cc9fd55b94151972e70566fdb7a1a
event_2,2018-01-02 13:57:45,ed7f159f2e594da9ad2631a87f30fd1d,d49cc9fd55b94151972e70566fdb7a1a
required_event_B,2018-01-02 18:19:04,395a9912e2904af89322bd1419f09e50,d3723f9d3d39460f8e89ddc9752fdce5
event_2,2018-01-02 23:25:03,e7db0a83748440b3a9217847b1ac1cf0,d49cc9fd55b94151972e70566fdb7a1a
required_event_C,2018-01-03 01:13:58,89f9fc757cb7434ea35c9bcad0af9359,d3723f9d3d39460f8e89ddc9752fdce5
event_1,2018-01-03 01:52:45,8cc642f504a14570aaae5c0042e329de,d49cc9fd55b94151972e70566fdb7a1a
event_3,2018-01-03 10:01:45,3136c86ebfb3445796eaf691de5aa36c,d49cc9fd55b94151972e70566fdb7a1a
event_2,2018-01-03 19:46:38,22554affbab840c7b7e978005bee1ed7,d49cc9fd55b94151972e70566fdb7a1a
event_2,2018-01-04 01:35:09,c68574f025cf4287b370adc9e8853e22,d3723f9d3d39460f8e89ddc9752fdce5
event_1,2018-01-04 06:23:55,66301372ff8a4b2ab7c09a4f83220be6,d49cc9fd55b94151972e70566fdb7a1a
event_3,2018-01-04 12:11:09,52822c3d6d3d41c7afb035564050bcf4,d49cc9fd55b94151972e70566fdb7a1a
event_3,2018-01-04 12:24:51,992abf4b719c4dfe9dbb976d6e494ed5,d3723f9d3d39460f8e89ddc9752fdce5
event_3,2018-01-04 13:56:33,11425e634d044d26b37c898c6d8784ac,d49cc9fd55b94151972e70566fdb7a1a
required_event_A,2018-01-04 19:13:02,39572b3c49b94644a921750df6be5336,f0763374f14a42cf892de8bf3f272e3b
required_event_A,2018-01-04 23:01:38,188e782e5fc349a3ac33071ccfbbe31b,acf911c909ed4eccbc9686d35f9a4688
required_event_A,2018-01-05 02:46:45,078d6abe6730455fa508dae7ab09b2c7,0345a8ce646e4d67b3f39d6da2e21379
required_event_B,2018-01-05 04:49:29,84980382c2a0453bb194304c57ff7a74,0345a8ce646e4d67b3f39d6da2e21379
event_2,2018-01-05 11:35:54,0bd627e845ee49168776c96ac0b49915,d3723f9d3d39460f8e89ddc9752fdce5
event_3,2018-01-05 12:32:14,7f102dd23e5e4c3182398e8814482974,d49cc9fd55b94151972e70566fdb7a1a
event_2,2018-01-05 20:45:32,a8c00270ff32413ebc72391e693208ac,d3723f9d3d39460f8e89ddc9752fdce5
required_event_B,2018-01-06 02:31:31,314e761eaefb44b9882c2147690ce727,acf911c909ed4eccbc9686d35f9a4688
required_event_C,2018-01-06 07:56:43,1bf8f76b7b9a4978aeb4deeca8fe5c75,0345a8ce646e4d67b3f39d6da2e21379
event_2,2018-01-06 11:12:48,2205b53860ff4fcf988062328eb346ac,d49cc9fd55b94151972e70566fdb7a1a
event_2,2018-01-06 11:13:59,5d6d9bf85df34fe7b045d95b282f7a0e,d49cc9fd55b94151972e70566fdb7a1a
event_1,2018-01-06 11:24:20,0ecce50d5a1d4262aae09b9d58abf392,d49cc9fd55b94151972e70566fdb7a1a
event_1,2018-01-06 16:28:56,5d1523666ec04e1c988689986847e20c,d3723f9d3d39460f8e89ddc9752fdce5
required_event_A,2018-01-06 17:01:05,8ccebd047dcf475c890518b76fb3e616,a5b65153cd704fe080d84c3b523aa56c
required_event_B,2018-01-06 20:32:57,0cc52f79f6614921a4107ddf1d58cd35,a5b65153cd704fe080d84c3b523aa56c
event_2,2018-01-06 20:50:08,aa7f21331c0240a89c489d4cb9a98837,d3723f9d3d39460f8e89ddc9752fdce5
event_1,2018-01-06 23:10:15,89eb494d1c064e2db154039b18c7f809,d49cc9fd55b94151972e70566fdb7a1a
event_3,2018-01-06 23:46:59,2a4807f61ea347598c3afd826480ee3b,d3723f9d3d39460f8e89ddc9752fdce5
required_event_C,2018-01-07 02:12:06,1656f0f930aa400db948dc92516e858a,a5b65153cd704fe080d84c3b523aa56c
required_event_B,2018-01-07 02:38:37,9569c2774c6541a6ac1c133dfc299194,f0763374f14a42cf892de8bf3f272e3b
required_event_C,2018-01-07 03:50:38,f0746ee1f9374b918b0c9fde5957ec20,acf911c909ed4eccbc9686d35f9a4688
event_1,2018-01-07 06:46:22,8f8c71a1baeb4962b065e70b7057649e,acf911c909ed4eccbc9686d35f9a4688
event_3,2018-01-07 08:12:13,08be077eb653476d968189c5da4ef9f9,a5b65153cd704fe080d84c3b523aa56c
event_3,2018-01-07 08:29:48,598ecbe0005247369a7831f1852ed146,acf911c909ed4eccbc9686d35f9a4688
required_event_A,2018-01-07 09:23:13,7e853b2b77a24ed385823fabd5684413,efa13ad4b58d4ebeadf80075219e3210
event_1,2018-01-07 10:15:09,e330194d2e7645fdb1083d9a328649e1,d3723f9d3d39460f8e89ddc9752fdce5
event_1,2018-01-07 12:41:32,5208b312cef7445285081775e79bc15b,d3723f9d3d39460f8e89ddc9752fdce5
required_event_B,2018-01-07 17:03:10,ce5605eef5b14b638e92fcd7e09b5ed3,efa13ad4b58d4ebeadf80075219e3210
